,Thie is the combined OP1 intake file from all stakeholders to the Ocean Product Development team. Intake has now been closed and this file will be used for prioritization and reporting purposes only.  Please do not make any further updates until after July  7th.   When filtering data make sure to NOT APPLY TO EVERYONE,,,,,,,,,,,,,,,,,,,All columns to the right  of column U are post intake Administration columns,,,,,,,,,
#,Ocean OP Vision Pillars,OP Initiatives  / Outcomes,OP Initiative Workstreams,"Old Business Themes submitted but hidden as standardized
(for eg. Invoice reduction) ",Business Value Type,Value PnL Impact $$ / FTE,"Success Measurement / KPI
(For eg. Invoice Accuracy)",Carry Over Yes/No,Customer Impact,End User Impact,Regions Impact,Platform,Primary System,Any other systems,"Dependencies / Risks
specify the platform name",Submittor Name,Name: Finance Business Partner Sign off,Contacts (FPO & BPO),MoSCoW PRIORITY LEGEND by Submittor,,Person assigned,Tech / Engineer Name (if known) ,"T-shirt size 
XS / S / M / L /XL /XXL",Keep in OP1 Yes / No,OP Document / Team,PnL,PnL Owners,Kathik's Category / Product Team,LT Contract Initiative - Karthik
1,Structured to Earn,Revenue Optimisation & Value Capture,Prism: Automatic inland haulage creation within Prism promise end date,Increase Revenue,Incremental or New Revenue EBIT,$94m,"Haulage accuracy, Haulage on time",No,High,High,Global,Order Handling platform,GCSS,,,Julie Yie,Eligio Fanigliulo,Daison Souza/Julia Ye Li,M,,Lisa,Farzana,,Yes,Combined V5,,,,
2,Simple & Seamless Execution,Revenue Optimisation & Value Capture,Prism: Automatic dispute handling for DnD and Credit memo DLG fee ,Invoice Quality - Ocean+ & DnD,FTE Efficiency,5 FTE,Invoice accuracy,No,High,High,Global,Order Handling platform,Charge Automation,Disputes,,Julie Yie,Eligio Fanigliulo,Daison Souza/Julia Ye Li,S,,Saurabh,,L,Yes,Combined V5,,,,
3,Structured to Earn,Revenue Optimisation & Value Capture,Prism: Offering options for customers to select different Prism product throughout booking journey,Increase Revenue,Incremental or New Revenue EBIT,TBC,Revenue,No,High,High,Global,Order Handling platform,OIPC,,,Julie Yie,Eligio Fanigliulo,Daison Souza/Julia Ye Li,S,,Ditte/Haze,,S,Yes,Combined V5,,,,
4,Structured to Earn,Revenue Optimisation & Value Capture,Prism: Provide Prism qualified routes at booking,Increase Revenue,Incremental or New Revenue EBIT,TBC,"Cost, Delivery success",No,High,High,Global,Order Handling platform,SSIB,"OIPO, IRE, GCSS",Routing platform,Julie Yie,Eligio Fanigliulo,Daison Souza/Julia Ye Li,M,,Ditte/Haze,,M,No,Combined V5,,,,
5,Structured to Earn,Quote Journey Acceleration,Reefer SPOT,Increase Revenue,Revenue Enabler – EBIT,$6m,Incremental Revenue,No,High,High,APA only,Penny,Penny,"OIPO, SSIB",,Maia Parlagashvili,Fabian Bauerdick,Maia Parlagashvili,M,,Penny Henrik / Ditte/ Haze,,,No,Combined V5,,,,
6,Structured to Earn,,DG and OOG: Adding the ability to book dangerous goods & odd size cargo in our ocean booking API journey,Ocean Digitization,Incremental or New Revenue EBIT,TBC,"Cost saving(EDI,Data quality), Enhanced Service Offering leading to Increased Revenue.",Yes,High,,Global,Maersk.com,Kairos ,,,Johnathan Katz,,,S,,Ditte,,S,Yes,Combined V5,,,,
7,Fix the Foundation,,Enhanced Governance for CH Surcharge Automation (improving Ancillary Cost Recovery),Surcharge Revenue budget & upseide,"Revenue Leakage Prevention,",$6.5m,"1) PnL Impact ($ incremental revenues)
2) Revenue covered via automation (% of total)
3) Effective month on month submissions of related GRC (OTC LST) Control",Yes,Low,High,Global,Order Handling platform,GCSS,OPERLP (Revenue Leakage Prevention),"GDA dependency to ensure Data Quality in current solution
TMS dependency to ensure accurate data flow for proposed enhanced solution",Prem Mario,Akhilesh Jaiswal,"Prem Kishen, 
Marnus Kotze",M,,Pricing Team,,XXL,Yes,Combined V5,,,,
8,Fix the Foundation,,"1) Decommission E-cargo local system (used in Brazil) 

2) Decommission E-maersk local system (used in Poland, Czechia, Hungary & Slovakia) ",Decommission a System,IT Cost Savings,"$50,000","1) Landside CH orders processed completely using Maersk global OH systems (GCSS) and Athena/ CCD (% coverage) and Local system decom basis 100% coverage
2) Landside CH orders processed completely using Maersk global OH systems (GCSS, SSIB, SSDO) and TMS (% coverage) and Local system decom basis 100% coverage",No,Low,High,"1) LAM Only 
2) EUR Only",Order Handling platform,GCSS,"SSIB, SSDO","1) Athena/CCD dependency to ensure Customer Obligations data is available to OH
2) TMS dependency to ensure E2E processing / execution of CH haulage orders",Prem Mario,APP Owner (IT) - Geoff Fuggle,"Prem Kishen, Lubna Ansari
Joanna Marat, Karl Harfouche",M,,Jigar / Ditte,,,No,Combined V5,,,,
